Aktivitetstype,Dato,Favorit,Titel,Distance,Kalorier,Tid,Gennemsnitlig puls,Maks. puls,Aerob TE,Gennemsnitlig svømmekadence,Maksimum svømmekadence,Gennemsnitstempo,Bedste tempo,Samlet stigning,Samlet nedstigning,Gennemsnitlig skridtlængde,Gennemsnitligt vertikalt forhold,Gennemsnitligt vertikalt udsving,Gennemsnitlig kontakt med jorden,Gennemsnitlig GCT-balance,Gennemsnitlig NJT,Normalized Power® (NP®),Training Stress Score®,Gennemsnitlig effekt,Maksimal effekt,Samlet antal svømmetag,Gennemsnitlig swolf,Gennemsnitlig hastighed for tag,Skridt,Samlet antal sæt,Afladning af Body Battery,Minimum temperatur,Dekompression,Tid for bedste omgang,Antal omgange,Maksimum temperatur,Gns. antal åndedrag,Min. antal åndedrag,Maks. antal åndedrag,Tid i bevægelse,Tidsforbrug,Minimum højde,Maksimal højde
Løb,2025-10-01 15:48:27,false,"Skanderborg - Basis","5.09","390","0:27","155","172","3.1","167","192","5:12","3:48","22","18","1.16","10.1","11.9","257","51.6% V / 48.4% H","5:10","431","0.0","428","562","--","--","--","4,386","--","-4","--","Nej","00:00:27.1","2","--","32","22","42","00:26:27","00:26:27","39","50"
Løb,2025-09-30 15:22:13,false,"Aarhus - Langt løb","14.15","1,124","1:22","155","172","3.6","160","208","5:47","3:36","36","30","1.07","10.9","11.8","269","51.9% V / 48.1% H","5:47","393","0.0","388","555","--","--","--","13,164","--","-13","--","Nej","00:22:32","3","--","34","16","52","01:21:50","01:23:49","-4","6"
Cykling,2025-09-29 15:07:02,false,"Aarhus Cykling","23.06","790","0:58","154","175","3.4","--","--","24.0","47.6","190","142","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","-7","--","Nej","00:06:27.0","5","--","33","23","42","00:53:02","00:57:45","-5","86"
Cykling på grusveje,2025-09-29 05:58:57,false,"Skanderborg Cykling på grusveje/ikke brolagte veje","23.04","841","1:07","148","167","3.5","--","--","20.9","49.1","130","172","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","-16","--","Nej","00:06:22.3","5","--","31","21","38","00:59:37","01:06:12","0","84"
Styrketræning,2025-09-28 13:30:34,false,"Styrke","0.00","268","0:46","109","141","0.5","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","15","-3","--","Nej","00:45:11","1","--","20","13","28","00:26:01","00:45:11","--","--"
Løb,2025-09-28 10:04:54,false,"Skanderborg - Langt løb","10.61","847","0:58","164","193","3.9","166","186","5:23","3:03","57","51","1.12","9.9","11.3","265","51.8% V / 48.2% H","5:21","414","0.0","406","651","--","--","--","9,388","--","-17","--","Nej","00:02:12.2","3","--","38","19","52","00:57:06","00:57:06","36","62"
Svøm i pool,2025-09-27 12:31:14,false,"Svøm i pool","1,400","547","0:46","141","161","2.7","--","--","2:55","2:09","--","--","--","--","--","--","--","--","--","0.0","--","--","938","60","23","--","--","--","--","Nej","00:00:11.9","14","--","--","--","--","00:40:43","00:45:56","--","--"
Cykling på grusveje,2025-09-26 14:13:56,false,"Aarhus Cykling på grusveje/ikke brolagte veje","23.71","819","0:58","157","175","3.7","--","--","24.8","50.4","186","137","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","-8","--","Nej","00:07:24.1","5","--","33","22","40","00:54:02","00:57:22","-3","58"
Cykling på grusveje,2025-09-26 06:16:51,false,"Skanderborg Cykling på grusveje/ikke brolagte veje","23.53","957","1:05","160","183","4.1","--","--","21.9","50.1","142","181","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","-19","--","Nej","00:09:09.4","5","--","34","20","41","00:57:51","01:04:31","1","56"
Løb,2025-09-25 15:52:18,false,"Skanderborg - Basis","5.67","445","0:30","164","180","3.3","166","181","5:07","3:26","53","51","1.18","9.8","11.8","261","51.9% V / 48.1% H","5:04","445","0.0","440","580","--","--","--","4,784","--","-5","--","Nej","00:03:23.1","2","--","37","18","45","00:29:01","00:29:02","41","74"
